short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,290458,1,2532716,217765,True,chromosome
2,207995,1,2532716,207995,True,chromosome
3,178451,1,2532716,160290,True,chromosome
4,131401,1,2532716,131401,True,chromosome
5,131231,1,2532716,131231,True,chromosome
6,122075,1,2532716,122075,True,chromosome
7,103940,1,2532716,103940,True,chromosome
8,87575,1,2532716,87575,True,chromosome
9,78599,1,2532716,78599,True,chromosome
10,71474,1,2532716,71474,True,chromosome
11,67313,1,2532716,67313,True,chromosome
12,65819,1,2532716,65819,True,chromosome
13,64794,1,2532716,64794,True,chromosome
14,62170,1,2532716,62170,True,chromosome
15,60522,2,189669,58780,True,plasmid
16,60360,1,2532716,60360,True,chromosome
17,59049,1,2532716,59049,True,chromosome
18,58608,1,2532716,56766,True,chromosome
19,55441,1,2532716,55441,True,chromosome
20,47318,1,2532716,47318,True,chromosome
21,46236,1,2532716,46236,True,chromosome
22,45753,1,2532716,45753,True,chromosome
23,43878,1,2532716,43878,True,chromosome
24,43098,1,2532716,43098,True,chromosome
25,40356,1,2532716,40356,True,chromosome
26,36710,1,2532716,36710,True,chromosome
27,36237,1,2532716,36237,True,chromosome
28,28860,1,2532716,28860,True,chromosome
29,26338,1,2532716,26338,True,chromosome
30,25563,2,189669,25562,True,plasmid
31,18231,2,189669,18231,True,plasmid
32,18200,2,189669,18200,True,plasmid
33,16596,1,2532716,16596,True,chromosome
34,16428,1,2532716,16428,True,chromosome
35,16192,1,2532716,16192,True,chromosome
36,13397,1,2532716,13397,True,chromosome
37,11698,1,2532716,11698,True,chromosome
38,11519,2,189669,11519,True,plasmid
39,11141,1,2532716,11141,True,chromosome
40,10689,1,2532716,10689,True,chromosome
41,10646,1,2532716,10646,True,chromosome
42,9222,2,189669,9222,True,plasmid
43,9038,1,2532716,9037,True,chromosome
44,8688,1,2532716,8688,True,chromosome
45,8468,2,189669,8468,True,plasmid
46,5338,2,189669,5338,True,plasmid
47,5135,1,2532716,5135,True,chromosome
48,4184,1,2532716,4184,True,chromosome
49,4042,1,2532716,4042,True,chromosome
50,4041,1,2532716,4041,True,chromosome
51,3303,2,189669,3303,True,plasmid
52,3136,1,2532716,3136,True,chromosome
53,2929,1,2532716,2929,True,chromosome
54,2714,2,189669,2714,True,plasmid
55,2713,2,189669,2713,True,plasmid
56,2660,1,2532716,2660,True,chromosome
57,2528,1,2532716,2528,True,chromosome
58,1678,NA,NA,1678,NA,ambiguous
59,1650,2,189669,1650,True,plasmid
60,1338,1,2532716,1338,True,chromosome
61,1021,1,2532716,1021,True,chromosome
62,976,NA,NA,976,NA,ambiguous
63,916,1,2532716,916,True,chromosome
64,809,2,189669,809,True,plasmid
65,750,1,2532716,750,True,chromosome
66,723,1,2532716,723,True,chromosome
67,708,2,189669,708,True,plasmid
68,651,2,189669,651,True,plasmid
69,611,1,2532716,611,True,chromosome
70,522,2,189669,522,True,plasmid
71,520,2,189669,520,True,plasmid
72,511,1,2532716,511,True,chromosome
73,454,2,189669,454,True,plasmid
74,431,NA,NA,431,NA,ambiguous
75,414,1,2532716,414,True,chromosome
76,390,NA,NA,390,NA,ambiguous
77,387,1,2532716,387,True,chromosome
78,383,1,2532716,383,True,chromosome
79,383,1,2532716,383,True,chromosome
80,353,1,2532716,353,True,chromosome
81,349,NA,NA,349,NA,ambiguous
82,320,2,189669,320,True,plasmid
83,311,2,189669,311,True,plasmid
84,307,NA,NA,307,NA,ambiguous
85,303,NA,NA,303,NA,ambiguous
86,294,1,2532716,294,True,chromosome
87,278,1,2532716,278,True,chromosome
88,273,NA,NA,273,NA,ambiguous
89,269,1,2532716,269,True,chromosome
90,269,1,2532716,269,True,chromosome
91,250,1,2532716,250,True,chromosome
92,223,2,189669,223,True,plasmid
93,223,1,2532716,223,True,chromosome
94,221,1,2532716,221,True,chromosome
95,213,1,2532716,213,True,chromosome
96,213,2,189669,213,True,plasmid
97,196,1,2532716,196,True,chromosome
98,194,1,2532716,194,True,chromosome
99,194,2,189669,194,True,plasmid
100,189,NA,NA,189,NA,ambiguous
101,187,NA,NA,187,NA,ambiguous
102,180,1,2532716,177,True,chromosome
103,177,NA,NA,177,NA,ambiguous
104,177,1,2532716,177,True,chromosome
105,173,NA,NA,173,NA,ambiguous
106,170,NA,NA,170,NA,ambiguous
107,167,2,189669,167,True,plasmid
108,162,2,189669,162,True,plasmid
109,154,1,2532716,154,True,chromosome
110,154,1,2532716,154,True,chromosome
111,152,1,2532716,152,True,chromosome
112,148,NA,NA,148,NA,ambiguous
113,140,1,2532716,140,True,chromosome
114,135,1,2532716,135,True,chromosome
115,134,2,189669,134,True,plasmid
116,133,NA,NA,133,NA,ambiguous
117,129,1,2532716,129,True,chromosome
118,128,NA,NA,128,NA,ambiguous
119,126,1,2532716,126,True,chromosome
120,124,1,2532716,124,True,chromosome
121,122,1,2532716,122,True,chromosome
122,122,1,2532716,122,True,chromosome
123,115,1,2532716,115,True,chromosome
124,114,1,2532716,114,True,chromosome
125,114,1,2532716,114,True,chromosome
126,108,1,2532716,108,True,chromosome
127,106,1,2532716,106,True,chromosome
128,100,1,2532716,100,True,chromosome
