short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,173244,1,2730185,173244,True,chromosome
2,161359,1,2730185,143187,True,chromosome
3,156865,1,2730185,156865,True,chromosome
4,145250,1,2730185,145250,True,chromosome
5,99903,1,2730185,99903,True,chromosome
6,90908,1,2730185,90908,True,chromosome
7,80628,1,2730185,80628,True,chromosome
8,79572,1,2730185,79572,True,chromosome
9,77023,1,2730185,77023,True,chromosome
10,73875,1,2730185,73875,True,chromosome
11,68689,1,2730185,68689,True,chromosome
12,65299,1,2730185,65299,True,chromosome
13,59268,1,2730185,59268,True,chromosome
14,59042,1,2730185,59042,True,chromosome
15,55743,1,2730185,55743,True,chromosome
16,52691,1,2730185,52691,True,chromosome
17,51521,1,2730185,51521,True,chromosome
18,50727,1,2730185,50727,True,chromosome
19,45190,1,2730185,45190,True,chromosome
20,43783,1,2730185,43783,True,chromosome
21,43126,1,2730185,43126,True,chromosome
22,40579,1,2730185,40579,True,chromosome
23,37681,1,2730185,37681,True,chromosome
24,36547,1,2730185,36547,True,chromosome
25,34653,1,2730185,34653,True,chromosome
26,33470,1,2730185,33470,True,chromosome
27,32538,1,2730185,32538,True,chromosome
28,31398,1,2730185,31398,True,chromosome
29,29314,1,2730185,29314,True,chromosome
30,29112,1,2730185,29112,True,chromosome
31,28604,1,2730185,28604,True,chromosome
32,27075,1,2730185,27075,True,chromosome
33,25504,1,2730185,25504,True,chromosome
34,24536,1,2730185,24536,True,chromosome
35,23832,1,2730185,23831,True,chromosome
36,23519,1,2730185,23519,True,chromosome
37,20188,1,2730185,20188,True,chromosome
38,19687,1,2730185,19687,True,chromosome
39,18012,2,149034,17188,True,plasmid
40,17010,1,2730185,17010,True,chromosome
41,16907,1,2730185,16907,True,chromosome
42,16492,2,149034,16492,True,plasmid
43,16407,1,2730185,16369,True,chromosome
44,15920,1,2730185,15920,True,chromosome
45,15774,1,2730185,15774,True,chromosome
46,15240,1,2730185,15240,True,chromosome
47,15144,1,2730185,15144,True,chromosome
48,14331,1,2730185,14298,True,chromosome
49,14300,2,149034,14300,True,plasmid
50,13810,1,2730185,13810,True,chromosome
51,13402,1,2730185,13402,True,chromosome
52,13150,1,2730185,13150,True,chromosome
53,12803,2,149034,12803,True,plasmid
54,12155,1,2730185,12155,True,chromosome
55,11240,1,2730185,11240,True,chromosome
56,11172,1,2730185,11172,True,chromosome
57,10754,1,2730185,10754,True,chromosome
58,10711,2,149034,10711,True,plasmid
59,10666,2,149034,10666,True,plasmid
60,10656,2,149034,10656,True,plasmid
61,9972,1,2730185,9926,True,chromosome
62,9860,3,16029,8258,True,plasmid
63,9448,1,2730185,9448,True,chromosome
64,9237,1,2730185,9237,True,chromosome
65,8496,1,2730185,8496,True,chromosome
66,8458,1,2730185,8458,True,chromosome
67,7918,1,2730185,7918,True,chromosome
68,7603,1,2730185,7603,True,chromosome
69,7269,1,2730185,7269,True,chromosome
70,6434,1,2730185,6434,True,chromosome
71,6138,2,149034,6138,True,plasmid
72,5786,2,149034,5786,True,plasmid
73,5469,1,2730185,5469,True,chromosome
74,5026,1,2730185,5026,True,chromosome
75,5022,1,2730185,5022,True,chromosome
76,4931,2,149034,4931,True,plasmid
77,4690,1,2730185,4690,True,chromosome
78,4683,1,2730185,4683,True,chromosome
79,4659,4,10188,4659,True,plasmid
80,4637,1,2730185,4637,True,chromosome
81,4437,2,149034,4437,True,plasmid
