short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,151661,1,2558647,151612,True,chromosome
2,135145,1,2558647,135145,True,chromosome
3,117929,1,2558647,117929,True,chromosome
4,112612,1,2558647,112612,True,chromosome
5,109779,1,2558647,109779,True,chromosome
6,105040,1,2558647,105040,True,chromosome
7,101215,1,2558647,83043,True,chromosome
8,92594,1,2558647,92594,True,chromosome
9,91365,1,2558647,91365,True,chromosome
10,90442,1,2558647,90442,True,chromosome
11,84092,1,2558647,84092,True,chromosome
12,81338,1,2558647,81338,True,chromosome
13,81157,1,2558647,73274,True,chromosome
14,79643,1,2558647,79643,True,chromosome
15,71810,1,2558647,71810,True,chromosome
16,71159,1,2558647,71159,True,chromosome
17,67987,1,2558647,67941,True,chromosome
18,59727,1,2558647,59727,True,chromosome
19,57041,2,172850,51988,True,plasmid
20,53430,1,2558647,53409,True,chromosome
21,48128,1,2558647,48128,True,chromosome
22,46083,1,2558647,46083,True,chromosome
23,43195,1,2558647,43195,True,chromosome
24,40772,1,2558647,40772,True,chromosome
25,39242,1,2558647,39223,True,chromosome
26,38486,1,2558647,38437,True,chromosome
27,37059,1,2558647,37059,True,chromosome
28,35039,1,2558647,35039,True,chromosome
29,33284,1,2558647,33284,True,chromosome
30,30048,1,2558647,30048,True,chromosome
31,29579,1,2558647,29579,True,chromosome
32,27528,2,172850,27528,True,plasmid
33,25486,1,2558647,25486,True,chromosome
34,22064,1,2558647,22064,True,chromosome
35,21631,1,2558647,21631,True,chromosome
36,21445,1,2558647,16550,True,chromosome
37,21202,2,172850,21202,True,plasmid
38,20761,1,2558647,20761,True,chromosome
39,19622,1,2558647,19622,True,chromosome
40,18977,1,2558647,18977,True,chromosome
41,18073,1,2558647,18073,True,chromosome
42,18054,1,2558647,18054,True,chromosome
43,17550,1,2558647,17526,True,chromosome
44,15367,1,2558647,15367,True,chromosome
45,13811,1,2558647,13811,True,chromosome
46,11578,1,2558647,11521,True,chromosome
47,9858,2,172850,9858,True,plasmid
48,9321,1,2558647,9321,True,chromosome
49,9317,3,9317,9317,True,plasmid
50,8876,1,2558647,8876,True,chromosome
51,8487,2,172850,8487,True,plasmid
52,8305,1,2558647,8305,True,chromosome
53,7222,1,2558647,7222,True,chromosome
54,6765,2,172850,6765,True,plasmid
55,6646,2,172850,6646,True,plasmid
56,6030,2,172850,6030,True,plasmid
57,5935,1,2558647,5935,True,chromosome
58,4624,1,2558647,4624,True,chromosome
59,4372,4,4372,4372,True,plasmid
60,4295,5,4295,4295,True,plasmid
61,4014,2,172850,4014,True,plasmid
62,3237,1,2558647,3237,True,chromosome
63,3182,1,2558647,3182,True,chromosome
64,2141,1,2558647,2141,True,chromosome
65,1981,6,1981,1981,True,plasmid
66,1903,2,172850,1903,True,plasmid
67,1710,2,172850,1710,True,plasmid
68,1589,2,172850,1589,True,plasmid
69,1514,1,2558647,1514,True,chromosome
70,1498,1,2558647,1498,True,chromosome
71,1412,2,172850,1412,True,plasmid
72,1158,NA,NA,1158,NA,ambiguous
73,1077,1,2558647,1077,True,chromosome
74,1065,1,2558647,1065,True,chromosome
75,1062,1,2558647,1062,True,chromosome
76,814,NA,NA,814,NA,ambiguous
77,809,2,172850,809,True,plasmid
78,758,1,2558647,758,True,chromosome
79,656,NA,NA,656,NA,ambiguous
80,631,NA,NA,631,NA,ambiguous
81,611,1,2558647,611,True,chromosome
82,527,1,2558647,527,True,chromosome
83,463,NA,NA,463,NA,ambiguous
84,462,1,2558647,462,True,chromosome
85,459,2,172850,459,True,plasmid
86,393,1,2558647,393,True,chromosome
87,383,1,2558647,383,True,chromosome
88,353,1,2558647,353,True,chromosome
89,344,NA,NA,344,NA,ambiguous
90,341,2,172850,341,True,plasmid
91,310,2,172850,310,True,plasmid
92,294,NA,NA,294,NA,ambiguous
93,285,NA,NA,285,NA,ambiguous
94,279,1,2558647,279,True,chromosome
95,267,1,2558647,267,True,chromosome
96,249,NA,NA,249,NA,ambiguous
97,229,2,172850,229,True,plasmid
98,214,2,172850,214,True,plasmid
99,194,1,2558647,194,True,chromosome
100,183,1,2558647,183,True,chromosome
101,183,1,2558647,183,True,chromosome
102,165,1,2558647,165,True,chromosome
103,164,2,172850,164,True,plasmid
104,149,NA,NA,149,NA,ambiguous
105,134,2,172850,134,True,plasmid
